number,url,pdf_url,bibtex_url,author,issn,abstract,address,type,publisher,month,year,journal,title,entrytype,id,doi,keywords,pages,volume,chapter
53,http://timreview.ca/article/53,,https://timreview.ca/article/export/bibtex/53,Dru Lavigne,1913-6102,"What is your first thought when you encounter the term ""open source support""? A programmer typing the answer to a question using a chat utility? Hours spent scouring the Internet for a working configuration sample? Contacting a support engineer at a commercial call centre? If you find it difficult to think about a support engineer, you\textquoterightre not alone. Actuate\textquoterights recently published 2007 Open Source Survey of senior personnel from financial services, Telco, and public sector organizations across North America and Europe indicates that 46.3% of respondents cite the lack of availability of long term support as a major barrier to their company\textquoterights adoption of open source technologies. ",Ottawa,Editorial,Talent First Network,11/2007,2007,Open Source Business Resource,Editorial: Support (November 2007),article,53,,,,,
54,http://timreview.ca/article/54,,https://timreview.ca/article/export/bibtex/54,Stormy Peters,1913-6102,"Open Source Software (OSS) has permeated the enterprise. Some organizations still prohibit the use of OSS altogether, but they are unquestionably in the minority. For most companies, it\textquoterights not a question of ""should we use OSS""? but rather, ""how and where can we best take advantage of open source solutions""? 

As companies have shifted from prohibiting OSS use to embracing it, they must now deal with technical support issues. This article examines the various option available to support companies that use OSS.",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Enterprise Open Source Support,article,54,,,,,
55,http://timreview.ca/article/55,,https://timreview.ca/article/export/bibtex/55,Sourcelabs,1913-6102,"Infrastructure Open Source Software (OSS), including middleware, database packages, and the Linux operating system, is increasingly being deployed by financial institutions. Many OSS packages are selected and incorporated directly into custom applications by developers, thus bypassing traditional purchasing channels and their attendant legal, standards, and technical review processes. Because of this, Information Technology (IT) management is often unaware of the OSS running in their data centers, and sometimes support and maintenance measures are not in place for OSS running in production applications. 

With the advent of regulatory structures such as the Basel II accords, the reliability of computing systems is increasingly subject to regulatory scrutiny. Not having adequate support and maintenance measures in place creates a significant compliance risk for financial institutions. This article describes these risks and outlines best practices for an anti-failure program that brings systems depending on OSS packages into compliance while reducing overall operational risk. ",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Special Considerations for Financial Services Firms,article,55,,,,,
56,http://timreview.ca/article/56,,https://timreview.ca/article/export/bibtex/56,Jason Côté and Julian Egelstaff,1913-6102,"In 2004, the Nonprofit Open Source Initiative (NOSI) released ""Choosing and Using Free and Open Source Software: A Primer for Nonprofits"". The primer describes the potential impact that Free/Libre and Open Source Software (F/LOSS) might have on the not-for-profit (NFP) sector. In a recently released update, the primer concludes that, despite many advances in the use of F/LOSS in the sector over the past several years, a real and perceived lack of support remains a significant barrier to the increased adoption of F/LOSS by NFPs. 

Support is often the last thing people think of when they think of F/LOSS and NFPs. Instead, people tend to focus on the price, which is of particular importance to cash-strapped NFPs. There is a widely held belief that free software represents a cost savings to NFPs. ",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Supporting Not-for-Profits: an Opportunity for the Commons,article,56,,,,,
57,http://timreview.ca/article/57,,https://timreview.ca/article/export/bibtex/57,Glen McInnis,1913-6102,"Early in 2006, Microsoft CEO Steve Balmer made a public statement that Microsoft had no trouble competing with  open source rivals on features. Balmer was downplaying  the fact that Open Source Software (OSS) has changed the nature of competition in the software industry from one of feature-based competition to a much more complex model for competition. 

Traditional firms like Microsoft are not simply competing against a loose group of programmers who produce OSS; they are competing against other firms who have chosen to use OSS as part of their product or service offering. This article is an examination of competition in this new environment where firm-to-firm competition includes those firms making use of OSS. 

The evolution of the marketplace becomes evident when competition is viewed as a series of small, but discrete actions that are carried out by a firm. Each of these actions is intended to improve the firm\textquoterights standing in the marketplace. Such actions can be classified as one of six different types of competitive action: (i) pricing, (ii) marketing, (iii) new products, (iv) capacity, (v) service, and (vi) signaling.",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Competitive Actions of Open Source Firms,article,57,,,,,
58,http://timreview.ca/article/58,,https://timreview.ca/article/export/bibtex/58,David Maxwell,1913-6102,"Open Source Software (OSS) has been embraced by individuals for decades, but only recently have organizations around the globe looked upon open source as an attractive and practical alternative to proprietary software. In addition to its appealing price tag, usually free, OSS can be inspected, modified, and freely redistributed according to the terms of its license. 

In spite of this, open source developers still find their code quality and security challenged by a question that has followed them from the beginning: ""If it\textquoterights free, how good can it be?""",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Ensuring the Quality of Open Source Software,article,58,,,,,
59,http://timreview.ca/article/59,,https://timreview.ca/article/export/bibtex/59,Andrew Pullin and Kamal Hassin and Monica Mora,1913-6102,"Open Education Resources (OER) are educational material and resources that the general public can freely use for teaching, learning, and research. Like Open Source Software (OSS), OER contain content that is freely reused and redistributed without the traditional restrictions imposed by copyright. OER also includes the tools used to develop, improve, and distribute this content to communities. 

The Open Education 2007: Localizing and Learning  conference was held at Utah State University in September. The conference focused on the ability of people to learn as simply publishing OER content online does not guarantee that it can be effectively used for learning. This theme was investigated from two perspectives. The first was from the developer perspective with the sharing of efforts to localize the educational content and make it more relevant to the people using it. The second was from the user perspective where organizations utilizing or deploying OER spoke of their experiences, challenges, and successes. 

This report provides an overview of the sustainability, localization, technological, legal and interoperability issues raised at the conference. It concludes with the authors\textquoteright views regarding the future direction of OERs, based on their research being conducted at Carleton University\textquoterights Technology Innovation Management program.",Ottawa,Articles,Talent First Network,11/2007,2007,Open Source Business Resource,Conference Report: Open Education 2007,article,59,,,,,
62,http://timreview.ca/article/62,,https://timreview.ca/article/export/bibtex/62,Dru Lavigne,1913-6102,"In his book Open Source Licensing: Software Freedom and Intellectual 
Property Law, Lawrence Rosen defines licensing as ""the legal way a copyright and patent owner grants permission to others to use his intellectual property"". When you consider that  the bread and butter of a company usually revolves around its intellectual property, it\textquoterights not suprising that open source licenses are often regarded with suspicion. How is it possible for a company\textquoterights interests to be protected by a license written by another party? And how can a company provide ""open"" access to its intellectual property without ""giving away the store""?

Simon Phipps, Chief Open Source Officer for Sun Microsystems, once stated in an interview: ""While open source licensing lets people have access...this doesn\textquoterightt have to mean that chaos ensues."" This issue of the OSBR provides insights to help navigate the chaos that is often associated with open source licenses.",Ottawa,Editorial,Talent First Network,10/2007,2007,Open Source Business Resource,Editorial: Licensing (October 2007),article,62,,,,,
63,http://timreview.ca/article/63,,https://timreview.ca/article/export/bibtex/63,Lawrence Rosen,1913-6102,"QNX Software Systems\textquoteright new software model integrates open source and proprietary software products in new ways. It is a step forward in the embedded systems market toward openness and freedom of software development, and it gives QNX customers significantly greater flexibility to extend and adapt QNX technology for their own purposes. 

The new QNX model is an effort to address fundamental problems in the way proprietary embedded software is traditionally developed and distributed. Today, the rate of change to software and hardware is so rapid, and software so complex, that vendors and customers alike struggle to keep up. Often, software vendors are their own worst bottleneck, as they work to fix or extend their existing products while also attempting to satisfy new, and often divergent, customer needs. Meanwhile, the sophisticated users and customers in the embedded market often know exactly what features and functions they want; many would make the modifications themselves if allowed to do so. And many of them would welcome opportunities to cooperate and share the results of their collective development efforts, just as they would in an open source project. 

A pure open source approach doesn\textquoterightt work in all cases, and it doesn\textquoterightt work for QNX which does not believe that relinquishing all control over their intellectual property and giving it away for free would best serve the interests of their customers. ",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,QNX Hybrid Software Model,article,63,,,,,
64,http://timreview.ca/article/64,,https://timreview.ca/article/export/bibtex/64,Thomas Prowse,1913-6102,"This article will set out a practical five stage approach to Open Source Software (OSS) legal issues for organizations that are working, or thinking of working, in this area.  While OSS affords a plethora of legal challenges and ongoing developments that merit treatment, I will focus on a general framework for managing OSS legal issues.  Since I will provide general legal information and not legal advice, I strongly encourage your organization to work with legal counsel with competency in the OSS area to address its specific circumstances.",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,Five Stage Approach to Licensing,article,64,,,,,
