number,url,pdf_url,bibtex_url,author,issn,abstract,address,type,publisher,month,year,journal,title,entrytype,id,doi,keywords,pages,volume,chapter,pdf_name,has_pdf
485,https://timreview.ca/article/485,https://timreview.ca/sites/default/files/article_PDF/Bailetti_TIMReview_October2011_3.pdf,https://timreview.ca/article/export/bibtex/485,Tony Bailetti,1927-0321,"A student spinoff company strives to transform knowledge acquired by students into an income-generating business. This article outlines how a university can increase the number of spinoff companies created by its student entrepreneurs. 

Student spinoff companies are of interest to all forward-thinking universities, particularly those that support research and teaching programs in the field of entrepreneurship. The spinoff companies provide tangible evidence that students acquire viable entrepreneurial skills while studying at the university. In addition, student spinoff companies contribute to regional economic development, commercialize knowledge that otherwise would go undeveloped, help universities attain and expand their core missions, and increase the return on the investments in university R&D. 

University policies developed specifically for student spinoff companies significantly affect the growth potential of such ventures. This article provides a model and a set of principles that universities can use to support and increase the number of student entrepreneurs at their institutions. The model and principles are grounded in research findings and practical experience. In addition, the article suggests that universities adopt a results-based management approach to plan and deploy initiatives to support student entrepreneurs. The approach is widely used by government agencies interested in increasing the outcomes from their investments. ",Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,Fostering Student Entrepreneurship and University Spinoff Companies,article,485,http://doi.org/10.22215/timreview/485,"entrepreneurship, spinoff, student entrepreneur, university",7-12,1,,Bailetti_TIMReview_October2011_3.pdf,True
486,https://timreview.ca/article/486,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_October2011_1.pdf,https://timreview.ca/article/export/bibtex/486,Chris McPhee,1927-0321,,Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,Editorial: Introducing the TIM Review (October 2011),article,486,http://doi.org/10.22215/timreview/486,"editorial, journal, TIM Review",3-4,1,,Editorial_TIMReview_October2011_1.pdf,True
488,https://timreview.ca/article/488,https://timreview.ca/sites/default/files/article_PDF/Weiss_TIMReview_October2011_2.pdf,https://timreview.ca/article/export/bibtex/488,Michael Weiss,1927-0321,"Where software product development occurs is shifting from single companies to groups or collectives of companies. In this article, we retrace the evolution of how software product development is organized and then offer insights into the economic motivation for collectives, which will be relevant to companies considering joining a software product development collective. Building on the literature on software product line economics, we identify three factors affecting the economics of collectives (level of contribution, number of members, and diversity of use), and develop a model that links those factors to three economic outcomes (time, quality, and cost). This model can be used by potential members when deciding whether or not to join a collective.",Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,Economics of Software Product Development Collectives,article,488,http://doi.org/10.22215/timreview/488,"collectives, eclipse, ecosystem, product line, software development",13-18,1,,Weiss_TIMReview_October2011_2.pdf,True
489,https://timreview.ca/article/489,https://timreview.ca/sites/default/files/article_PDF/WesterlundLeminen_TIMReview_October2011_3.pdf,https://timreview.ca/article/export/bibtex/489,Mika Westerlund and Seppo Leminen,1927-0321,"High-technology firms have paved the way for user-driven innovations, but now even traditional industries are becoming increasingly open. This shift is a great challenge for companies with instituted practices, policies, and customer relationships. In this article, we identify four distinct steps in becoming an open innovation company based on our recent research into firms\textquoteright experiences with living lab experiments in the information and communication technology (ICT) sector. We describe these phases and illustrate the divergent roles that users play in each one. We conclude with a discussion on the differences between the management challenges of conventional development projects versus the open innovation model. For all firms that wish to become open innovators, we recommend that their managers promote an open organizational mindset and apply groupware that supports increased openness, because traditional project management tools are insufficient for open innovation. ",Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,Managing the Challenges of Becoming an Open Innovation Company: Experiences from Living Labs,article,489,http://doi.org/10.22215/timreview/489,"Innovation management, Living lab, Open innovation, User-driven",19-25,1,,WesterlundLeminen_TIMReview_October2011_3.pdf,True
490,https://timreview.ca/article/490,https://timreview.ca/sites/default/files/article_PDF/Carbone_TIMReview_October2011_1.pdf,https://timreview.ca/article/export/bibtex/490,Peter Carbone,1927-0321,"Mergers and acquisitions (M&A) have been popular means for many companies to address the increasing pace and level of competition that they face. Large companies have pursued acquisitions to more quickly access technology, markets, and customers, and this approach has always been a viable exit strategy for startups. However, not all deals deliver the anticipated benefits, in large part due to poor integration of the acquired assets into the acquiring company. Integration can greatly impact the success of the acquisition and, indeed, the combined company\textquoterights overall market success. 

In this article, I explore the implementation of several integration models that have been put into place by a large company and extract principles that may assist negotiating parties with maximizing success. This perspective may also be of interest to smaller companies as they explore exit options while trying to ensure continued market success after acquisition. I assert that business success with acquisitions is dependent on an appropriate integration model, but that asset integration is not formulaic. Any integration effort must consider the specific market context and personnel involved.",Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,Acquisition Integration Models: How Large Companies Successfully Integrate Startups,article,490,http://doi.org/10.22215/timreview/490,"Acquisitions, Company Integration, Competitive M&A, Mergers",26-31,1,,Carbone_TIMReview_October2011_1.pdf,True
491,https://timreview.ca/article/491,https://timreview.ca/sites/default/files/article_PDF/GilbertDavies_TIMReview_October2011_1.pdf,https://timreview.ca/article/export/bibtex/491,Ian Gilbert and Stephen Davies,1927-0321,"The majority of startups fail to consider sales execution as part of their overall strategy. This article demonstrates how a sales execution strategy can help a company take a product or service to market more efficiently and effectively by focusing on the customers that are key to generating revenue. Combined with techniques for recruiting effectively and measuring sales outcomes, a sales execution strategy helps technology startups exceed growth aspirations and potentially reduce or even eliminate the requirement for external investment. 

In this article, we first describe the focus of assistance currently given to startups and the reasons why sales execution strategies are often overlooked. Next, we outline recommendations for developing, implementing, and supporting a sales execution strategy. Finally, we summarize the key points presented in the article. ",Ottawa,,Talent First Network,10/2011,2011,Technology Innovation Management Review,A Sales Execution Strategy Guide for Technology Startups,article,491,http://doi.org/10.22215/timreview/491,"entrepreneurs, sales, sales execution strategy, sales strategy, startups",32-36,1,,GilbertDavies_TIMReview_October2011_1.pdf,True
494,https://timreview.ca/article/494,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_November2011.pdf,https://timreview.ca/article/export/bibtex/494,Chris McPhee,1927-0321,,Ottawa,,Talent First Network,11/2011,2011,Technology Innovation Management Review,Editorial: Recent Research (November 2011),article,494,http://doi.org/10.22215/timreview/494,"business ecosystems, entrepreneurship, innovation, open source, policy, research",3-3,1,,Editorial_TIMReview_November2011.pdf,True
495,https://timreview.ca/article/495,https://timreview.ca/sites/default/files/article_PDF/Muegge_TIMReview_November2011.pdf,https://timreview.ca/article/export/bibtex/495,Steven Muegge,1927-0321,"This article introduces a systems perspective on community-developed platforms and the institutions that structure participation by individuals and companies. It brings together the past research about technology platforms, company participation in business ecosystems, and individual participation in developer communities, and links these codependent subsystems through resource flows, interconnected institutional arrangements, and shared governance. To achieve this synthesis, it draws on conceptual arguments from a broad range of sources, including Elinor Ostrom\textquoterights research program on the economics of sustainable commons governance, Tim O\textquoterightReilly\textquoterights practitioner essays about the architecture of participation, and prior management research on modularity and design, resource dependence, and systems thinking. The resulting “systems of systems” perspective is parsimonious and insightful for entrepreneurs, managers, and community leaders. ",Ottawa,,Talent First Network,11/2011,2011,Technology Innovation Management Review,Business Ecosystems as Institutions of Participation: A Systems Perspective on Community-Developed Platforms,article,495,http://doi.org/10.22215/timreview/495,"architecture of participation, business ecosystem, community-developed platform, institutional analysis and design (IAD), meritocratic developer community",4-13,1,,Muegge_TIMReview_November2011.pdf,True
496,https://timreview.ca/article/496,https://timreview.ca/sites/default/files/article_PDF/Tanev_etal_TIMReview_November2011.pdf,https://timreview.ca/article/export/bibtex/496,Stoyan Tanev and Mette Præst Knudsen and Tanja Bisgaard and Merethe Stjerne Thomsen,1927-0321,"The objective of the present article is to discuss innovation policy issues related to three emerging innovation paradigms: user-driven innovation, open innovation, and value co-creation. It provides a summary of insights based on innovation policy practices and challenges in Denmark. The choice of Danish innovation policy practices is not accidental. In 2008 Denmark implemented 40 different national innovation programs by allocating about 400 million euros. Since the three emerging paradigms have become globally relevant, the discussion of Danish policy development challenges and practices is expected to be insightful for innovation experts from other developed countries that are currently dealing with the adoption of these paradigms. ",Ottawa,,Talent First Network,11/2011,2011,Technology Innovation Management Review,Innovation Policy Development and the Emergence of New Innovation Paradigms,article,496,http://doi.org/10.22215/timreview/496,"innovation, Open innovation, policy, user-driven innovation, value co-creation",14-19,1,,Tanev_etal_TIMReview_November2011.pdf,True
497,https://timreview.ca/article/497,https://timreview.ca/sites/default/files/article_PDF/Schillo_TIMReview_November2011.pdf,https://timreview.ca/article/export/bibtex/497,R. Sandra Schillo,1927-0321,"This article comments on the management implications of the various approaches to measuring entrepreneurial orientation (EO), and it discusses the implications of a range of empirical findings for management decisions. On the whole, the argument is that academic research needs to increase its understanding of the differences in empirical results between different studies. To date, the research mostly spells a small number of useful warnings, for example that the positive impact of EO may level off or turn negative beyond a certain point and that it may not have the anticipated positive effect in all circumstances. However, the academic research has yet to identify these circumstances to a level of specificity that could provide useful guidance to managers. ",Ottawa,,Talent First Network,11/2011,2011,Technology Innovation Management Review,Entrepreneurial Orientation and Company Performance: Can the Academic Literature Guide Managers?,article,497,http://doi.org/10.22215/timreview/497,"entrepreneurial orientation, entrepreneurship",20-25,1,,Schillo_TIMReview_November2011.pdf,True
